AAPL,MSI,SBUX
67.8542,60.3,28.185
68.5614,60.9,28.07
66.8428,60.830000000000005,28.13
66.7156,60.81,27.915
66.6556,61.12,27.775
65.7371,61.43000000000001,27.17
65.7128,62.03000000000001,27.225
64.1214,61.260000000000005,26.655
63.72280000000001,60.88,26.675
64.4014,61.9,27.085
63.2571,60.28,26.605
64.1385,60.63,26.64
63.5099,62.09,27.285
63.057100000000005,62.209999999999994,27.425
61.49570000000001,62.03000000000001,27.435
60.0071,62.5,27.85
61.5919,62.97,28.255
60.808800000000005,63.11000000000001,28.55
61.5117,62.64000000000001,29.124999999999996
61.6742,62.75,29.335000000000004
62.5528,62.56,29.305
61.2042,62.13,29.140000000000004
61.19279999999999,62.21999999999999,29.2925
61.7857,62.339999999999996,28.840000000000003
63.3799,62.07,28.829999999999995
65.1028,61.64,28.465
64.9271,61.67,28.414999999999996
64.5828,62.4,28.714999999999996
64.6756,62.42999999999999,28.524999999999995
65.9871,63.61,28.689999999999998
66.2256,63.290000000000006,28.345
65.8765,63.459999999999994,28.524999999999995
64.5828,63.56,28.455
63.23709999999999,64.03,28.474999999999998
61.272800000000004,63.7,28.435000000000002
61.3988,63.7,29.129999999999995
61.7128,62.8,28.85
61.1028,62.989999999999995,29.055000000000003
60.4571,62.67,28.9
60.8871,63.17,29.060000000000002
60.9971,63.63999999999999,28.705
62.2414,64.69,28.9
62.0471,64.63,29.2875
61.3999,63.87,29.545
59.9785,61.82999999999999,28.855
60.89139999999999,62.96,29.28
57.5428,62.13,29.085
56.0071,61.15,28.86
55.7899,61.72,29.2025
56.952799999999996,61.779999999999994,29.319999999999997
58.0185,61.75,29.695
57.9231,56.02,29.915
58.3399,56.39,30.25
59.6007,56.8,30.0
61.44570000000001,57.43999999999999,30.289999999999996
63.254200000000004,57.20000000000001,30.42
62.755700000000004,56.37,30.070000000000004
63.6457,56.89,30.19
64.2828,57.29,30.935000000000002
65.8156,56.949999999999996,31.239999999999995
65.5225,56.78999999999999,31.095
66.2628,56.99999999999999,31.205
65.2528,56.779999999999994,31.18
64.7099,56.48,31.5485
64.9628,56.17,31.409999999999997
63.408500000000004,56.89,31.76
61.26420000000001,57.1,32.035
62.08250000000001,57.53,31.775000000000002
61.8942,57.84,32.065
63.27569999999999,58.24999999999999,31.915
62.8085,57.769999999999996,32.125
63.05050000000001,57.300000000000004,32.075
63.1628,57.47999999999999,31.76
63.5928,57.809999999999995,31.68
63.06270000000001,58.53,32.13
63.56419999999999,58.32,31.814999999999998
64.5114,58.54,31.734999999999996
64.2478,57.96,31.57
64.3885,57.83,31.729999999999997
64.1871,57.41,31.665000000000003
63.5871,56.27,31.169999999999998
62.63709999999999,56.92,31.510000000000005
63.11579999999999,56.94,32.52
62.69850000000001,56.61,33.055
62.51420000000001,56.38,32.71
61.741400000000006,56.26,32.225
62.2807,57.19,32.985
61.4357,56.93,32.8
61.71419999999999,57.33,33.015
